"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20170322","7.2","3","0"
"TXK_MN004","2597","20170323","11.7","3","0"
"TXK_MN004","2597","20170324","12.4","3","0"
"TXK_MN004","2597","20170325","14.8","3","0"
"TXK_MN004","2597","20170326","13.5","3","0"
"TXK_MN004","2597","20170327","17.4","3","0"
"TXK_MN004","2597","20170328","20.1","3","0"
"TXK_MN004","2597","20170329","17.6","3","0"
"TXK_MN004","2597","20170330","19.9","3","0"
"TXK_MN004","2597","20170331","22.7","3","0"
"TXK_MN004","2597","20170401","22","3","0"
"TXK_MN004","2597","20170402","17.9","3","0"
"TXK_MN004","2597","20170403","17.5","3","0"
"TXK_MN004","2597","20170404","13.8","3","0"
"TXK_MN004","2597","20170405","14","3","0"
"TXK_MN004","2597","20170406","11.7","3","0"
"TXK_MN004","2597","20170407","12.3","3","0"
"TXK_MN004","2597","20170408","15","3","0"
"TXK_MN004","2597","20170409","20.7","3","0"
"TXK_MN004","2597","20170410","22","3","0"
"TXK_MN004","2597","20170411","11.8","3","0"
"TXK_MN004","2597","20170412","16.7","3","0"
"TXK_MN004","2597","20170413","12.1","3","0"
"TXK_MN004","2597","20170414","14.2","3","0"
"TXK_MN004","2597","20170415","12.1","3","0"
"TXK_MN004","2597","20170416","10.7","3","0"
"TXK_MN004","2597","20170417","9","3","0"
"TXK_MN004","2597","20170418","7.2","3","0"
"TXK_MN004","2597","20170419","5.8","3","0"
"TXK_MN004","2597","20170420","10.1","3","0"
"TXK_MN004","2597","20170421","13","3","0"
"TXK_MN004","2597","20170422","10.4","3","0"
"TXK_MN004","2597","20170423","9.3","3","0"
"TXK_MN004","2597","20170424","15","3","0"
"TXK_MN004","2597","20170425","9.7","3","0"
"TXK_MN004","2597","20170426","8.9","3","0"
"TXK_MN004","2597","20170427","10.3","3","0"
"TXK_MN004","2597","20170428","12.6","3","0"
"TXK_MN004","2597","20170429","14","3","0"
"TXK_MN004","2597","20170430","16.5","3","0"
"TXK_MN004","2597","20170501","13.9","3","0"
"TXK_MN004","2597","20170502","8.5","3","0"
"TXK_MN004","2597","20170503","14.5","3","0"
"TXK_MN004","2597","20170504","14.1","3","0"
"TXK_MN004","2597","20170505","13.2","3","0"
"TXK_MN004","2597","20170506","19.6","3","0"
"TXK_MN004","2597","20170507","18.5","3","0"
"TXK_MN004","2597","20170508","13.4","3","0"
"TXK_MN004","2597","20170509","10.9","3","0"
"TXK_MN004","2597","20170510","16.8","3","0"
"TXK_MN004","2597","20170511","21","3","0"
"TXK_MN004","2597","20170512","20.4","3","0"
"TXK_MN004","2597","20170513","21.8","3","0"
"TXK_MN004","2597","20170514","21.2","3","0"
"TXK_MN004","2597","20170515","20.2","3","0"
"TXK_MN004","2597","20170516","23.7","3","0"
"TXK_MN004","2597","20170517","25.7","3","0"
"TXK_MN004","2597","20170518","25.7","3","0"
"TXK_MN004","2597","20170519","20.3","3","0"
"TXK_MN004","2597","20170520","17.1","3","0"
"TXK_MN004","2597","20170521","20.4","3","0"
"TXK_MN004","2597","20170522","20.8","3","0"
"TXK_MN004","2597","20170523","24.6","3","0"
"TXK_MN004","2597","20170524","18.9","3","0"
"TXK_MN004","2597","20170525","21.7","3","0"
"TXK_MN004","2597","20170526","24.9","3","0"
"TXK_MN004","2597","20170527","27","3","0"
"TXK_MN004","2597","20170528","29.4","3","0"
"TXK_MN004","2597","20170529","31.2","3","3"
"TXK_MN004","2597","20170530","26.6","3","0"
"TXK_MN004","2597","20170531","23.6","3","0"
"TXK_MN004","2597","20170601","25","3","0"
"TXK_MN004","2597","20170602","27.1","3","0"
"TXK_MN004","2597","20170603","27.8","3","0"
"TXK_MN004","2597","20170604","20.8","3","0"
"TXK_MN004","2597","20170605","18","3","0"
"TXK_MN004","2597","20170606","19.8","3","0"
"TXK_MN004","2597","20170607","16.3","3","0"
"TXK_MN004","2597","20170608","20.9","3","0"
"TXK_MN004","2597","20170609","24.1","3","0"
"TXK_MN004","2597","20170610","23","3","0"
"TXK_MN004","2597","20170611","28.1","3","0"
"TXK_MN004","2597","20170612","24.2","3","0"
"TXK_MN004","2597","20170613","21","3","0"
"TXK_MN004","2597","20170614","24.9","3","0"
"TXK_MN004","2597","20170615","29","3","0"
"TXK_MN004","2597","20170616","22.6","3","0"
"TXK_MN004","2597","20170617","17.7","3","0"
"TXK_MN004","2597","20170618","26.1","3","0"
"TXK_MN004","2597","20170619","30.2","3","0"
"TXK_MN004","2597","20170620","32.5","3","0"
"TXK_MN004","2597","20170621","30.7","3","0"
"TXK_MN004","2597","20170622","34.2","3","0"
"TXK_MN004","2597","20170623","26.5","3","0"
"TXK_MN004","2597","20170624","25.7","3","0"
"TXK_MN004","2597","20170625","24.9","3","0"
"TXK_MN004","2597","20170626","25.6","3","0"
"TXK_MN004","2597","20170627","23.3","3","0"
"TXK_MN004","2597","20170628","24.2","3","0"
"TXK_MN004","2597","20170629","19.8","3","0"
"TXK_MN004","2597","20170630","21.9","3","0"
"TXK_MN004","2597","20170701","19.4","3","0"
"TXK_MN004","2597","20170702","20.6","3","0"
"TXK_MN004","2597","20170703","24.5","3","0"
